sku	title	brand_sku	brand	model	type	color	diameter	pn	pcd	pcd2	et	centerbore	sale	price	price_retail	photo_url	amount_total	amount_local	amount shopId 1	amount shopId 4	amount shopId 7	amount shopId 8	amount shopId 9	amount shopId 10	amount shopId 12	amount shopId 13	amount shopId 14	amount shopId 15	amount shopId 16	amount shopId 17	amount shopId 19	amount shopId 20	amount shopId 21	amount shopId 22	amount shopId 23	amount shopId 24	amount shopId 25	amount shopId 26	amount shopId 30	amount shopId 33	amount shopId 35	amount shopId 36	amount shopId 37	amount shopId 635	amount shopId 667	amount shopId 669	amount shopId 671	amount shopId 678	amount shopId 712	amount shopId 714	amount shopId 716	amount shopId 718	amount shopId 719	amount shopId 722	amount shopId 723	amount shopId 3012
863272	AEZ Cliff dark 20 / 9.0J PCD 5x120.0 ET 25.00 ЦО 74.10 Литой / Черный с полированной лицевой поверхностью	ACL0M9BP25	AEZ	Cliff dark	Литой / Черный с полированной лицевой поверхностью	BFP	20 / 9.0J	5	120.0	0.0	25.00	74.10	0	15239	17070	https://www.shinservice.ru/catalog/disk/aez/Cliff_dark.bfp.jpg	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
863273	AEZ Cliff dark 20 / 9.0J PCD 5x120.0 ET 46.00 ЦО 74.10 Литой / Черный с полированной лицевой поверхностью	ACL0M9BP46	AEZ	Cliff dark	Литой / Черный с полированной лицевой поверхностью	BFP	20 / 9.0J	5	120.0	0.0	46.00	74.10	0	17312	19390	https://www.shinservice.ru/catalog/disk/aez/Cliff_dark.bfp.jpg	20	20	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0
863276	AEZ Cliff 20 / 9.0J PCD 5x120.0 ET 25.00 ЦО 74.10 Литой / Насыщенный серебристый	ACL0M9HA25	AEZ	Cliff	Литой / Насыщенный серебристый	HS	20 / 9.0J	5	120.0	0.0	25.00	74.10	0	15239	17070	https://www.shinservice.ru/catalog/disk/aez/Cliff.hs.jpg	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
863277	AEZ Cliff 20 / 9.0J PCD 5x120.0 ET 46.00 ЦО 74.10 Литой / Насыщенный серебристый	ACL0M9HA46	AEZ	Cliff	Литой / Насыщенный серебристый	HS	20 / 9.0J	5	120.0	0.0	46.00	74.10	0	15239	17070	https://www.shinservice.ru/catalog/disk/aez/Cliff.hs.jpg	12	12	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
863325	AEZ Steam graphite 19 / 8.0J PCD 5x112.0 ET 30.00 ЦО 66.60 Литой / Графитовый матовый	ASM9K8GA30E	AEZ	Steam graphite	Литой / Графитовый матовый	Grap_Matt	19 / 8.0J	5	112.0	0.0	30.00	66.60	0	15798	17690	https://www.shinservice.ru/catalog/disk/aez/Steam_graphite.grap_matt.jpg	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
863344	Скад Милан 16 / 6.5J PCD 5x114.3 ET 40.00 ЦО 67.10 Литой / Насыщенный серебристый	2130408	Скад	Милан	Литой / Насыщенный серебристый	HS	16 / 6.5J	5	114.3	0.0	40.00	67.10	0	6220	6930	https://www.shinservice.ru/catalog/disk/skad/Милан.hs.jpg	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
863349	Скад Сити 15 / 6.0J PCD 5x100.0 ET 40.00 ЦО 57.10 Литой / Насыщенный серебристый	1302208	Скад	Сити	Литой / Насыщенный серебристый	HS	15 / 6.0J	5	100.0	0.0	40.00	57.10	0	5470	6100	https://www.shinservice.ru/catalog/disk/skad/Сити.hs.jpg	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
863350	Скад Кёльн 16 / 7.0J PCD 5x114.3 ET 40.00 ЦО 67.10 Литой / Насыщенный серебристый	2180108	Скад	Кёльн	Литой / Насыщенный серебристый	HS	16 / 7.0J	5	114.3	0.0	40.00	67.10	0	6220	6930	https://www.shinservice.ru/catalog/disk/skad/Кёльн.hs.jpg	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
863353	Скад Веритас 15 / 6.0J PCD 4x98.0 ET 38.00 ЦО 58.60 Литой / Насыщенный серебристый	0620808	Скад	Веритас	Литой / Насыщенный серебристый	HS	15 / 6.0J	4	98.0	0.0	38.00	58.60	0	5470	6100	https://www.shinservice.ru/catalog/disk/skad/Веритас.hs.jpg	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
863356	Скад Венеция 16 / 6.5J PCD 5x114.3 ET 40.00 ЦО 66.10 Литой / Насыщенный серебристый	1710308	Скад	Венеция	Литой / Насыщенный серебристый	HS	16 / 6.5J	5	114.3	0.0	40.00	66.10	0	6220	6930	https://www.shinservice.ru/catalog/disk/skad/Венеция.hs.jpg	7	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
